	FPP	POS	Dictionary Entry
563	avis	noun	avis, avis, f
564	avocatio	noun	avocatio, f indecl.
565	avunculus	noun	avunculus, auunculi, m
566	avus	noun	avus, avi, m
567	axis	noun	axis, axis, m
568	Babylo	noun	Babylo, babylonis, m
569	baca	noun	baca, bacae, f
570	baccaris	noun	baccaris, baccaris, f
571	Baccha	noun	Baccha, bacchae, f
572	Bacchanal	noun	Bacchanal, bacchanalis, n
573	bacchantes	noun	bacchantes, f indecl.
574	bacchatio	noun	bacchatio, f indecl.
575	Bacchus	noun	Bacchus, bacchi, m
576	bacillum	noun	bacillum, n indecl.
577	baculum	noun	baculum, baculi, n
578	Baiae	noun	Baiae, f indecl.
579	balaena	noun	balaena, balaenae, f
580	balanus	noun	balanus, balani, m
581	balatro	noun	balatro, balatronis, m
582	balatus	noun	balatus, balatus, m
583	ballista	noun	ballista, ballistae, f
584	balnea	noun	balnea, n indecl.
585	balneator	noun	balneator, m indecl.
586	balneolum	noun	balneolum, n indecl.
587	balneum	noun	balneum, balnei, n
588	balsamum	noun	balsamum, balsami, n
589	balteus	noun	balteus, baltei, m
590	barathrum	noun	barathrum, barathri, n
591	barba	noun	barba, barbae, f
592	barbaria	noun	barbaria, barbariae, f
593	barbaries	noun	barbaries, f indecl.
594	barbarismus	noun	barbarismus, barbarismi, m
595	barbula	noun	barbula, f indecl.
596	barditus	noun	barditus, m indecl.
597	baris	noun	baris, f indecl.
598	baritus	noun	baritus, baritus, m
599	basilica	noun	basilica, basilicae, f
600	basium	noun	basium, basi, n
601	batillum	noun	batillum, batilli, n
602	beatum	noun	beatum, beati, n
603	bellator	noun	bellator, bellatoris, m
604	bellatrix	noun	bellatrix, bellatricis, f
605	bellicum	noun	bellicum, bellici, n
606	Bellona	noun	Bellona, bellonae, f
607	bellum	noun	bellum, belli, n
608	belua	noun	belua, beluae, f
609	bene	noun	bene, f indecl.
610	bene	noun	bene, f indecl.
611	beneficentia	noun	beneficentia, beneficentiae, f
612	beneficiarii	noun	beneficiarii, m indecl.
613	beneficium	noun	beneficium, benefici, n
614	benevolentia	noun	benevolentia, beneuolentiae, f
615	benignitas	noun	benignitas, benignitatis, f
616	bestia	noun	bestia, bestiae, f
617	bestiola	noun	bestiola, bestiolae, f
618	beta	noun	beta, betae, f
619	beta	noun	beta, betae, f
620	bibliotheca	noun	bibliotheca, bibliothecae, f
621	biceps	noun	biceps, m indecl.
622	bidental	noun	bidental, bidentalis, n
623	biduum	noun	biduum, bi, n
624	biennium	noun	biennium, bienni, n
625	biga	noun	biga, bigae, f
626	bigae	noun	bigae, f indecl.
627	bilibra	noun	bilibra, bilibrae, f
628	bilis	noun	bilis, bilis, f
629	bimaritus	noun	bimaritus, m indecl.
630	binoctium	noun	binoctium, n indecl.
631	bis	noun	bis, bin, f
632	bitumen	noun	bitumen, bituminis, n
633	blandiens	noun	blandiens, blandientis, m
634	blandiloquentia	noun	blandiloquentia, f indecl.
635	blandimentum	noun	blandimentum, blandimenti, n
636	blanditia	noun	blanditia, blanditiae, f
637	blatta	noun	blatta, blattae, f
638	boletus	noun	boletus, boleti, m
639	bolus	noun	bolus, boli, m
640	bombus	noun	bombus, bombi, m
641	Bona	noun	Bona, f indecl.
642	bona	noun	bona, f indecl.
643	bonitas	noun	bonitas, bonitatis, f
644	boreas	noun	boreas, boreae, m
645	bos	noun	bos, bovis, m
646	Bosporus	noun	Bosporus, bospori, m
647	bovis	noun	bovis, f indecl.
648	braca	noun	braca, bracae, f
649	bracchiolum	noun	bracchiolum, n indecl.
650	bracchium	noun	bracchium, brachi, n
651	bractea	noun	bractea, bratteae, f
652	bracteola	noun	bracteola, f indecl.
653	brassica	noun	brassica, brassicae, f
654	brevitas	noun	brevitas, breuitatis, f
655	bruma	noun	bruma, brumae, f
656	bubile	noun	bubile, n indecl.
657	bubo	noun	bubo, bubonis, m
658	bubulcus	noun	bubulcus, bubulci, m
659	bucca	noun	bucca, buccae, f
660	buccula	noun	buccula, bucculae, f
661	bucina	noun	bucina, bucinae, f
662	bucinator	noun	bucinator, m indecl.
663	bucula	noun	bucula, buculae, f
664	bufo	noun	bufo, m indecl.
665	bulbus	noun	bulbus, bulbi, m
666	bulla	noun	bulla, bullae, f
667	buris	noun	buris, burin, m
668	bustum	noun	bustum, busti, n
669	buxum	noun	buxum, buxi, n
670	buxus	noun	buxus, buxi, f
