	FPP	POS	Dictionary Entry
346	alter	noun	alter, alterius, m
347	altercatio	noun	altercatio, NULL, f
348	altitudo	noun	altitudo, altitudinis, f
349	altor	noun	altor, altoris, m
350	altrix	noun	altrix, altricis, f
351	altum	noun	altum, alti, n
352	altum	noun	altum, alti, n
353	alumna	noun	alumna, alumnae, f
354	alumnus	noun	alumnus, alumni, m
355	aluta	noun	aluta, alutae, f
356	alveolus	noun	alveolus, NULL, m
357	alveus	noun	alveus, aluei, m
358	alvus	noun	alvus, alui, m
359	amandatio	noun	amandatio, NULL, f
360	amandus	noun	amandus, amandi, m
361	amaracus	noun	amaracus, amaraci, m
362	amarantus	noun	amarantus, NULL, m
363	amarities	noun	amarities, NULL, f
364	amaror	noun	amaror, NULL, m
365	amata	noun	amata, amatae, f
366	amator	noun	amator, amatoris, m
367	Amazon	noun	Amazon, amazonis, f
368	Amazonis	noun	Amazonis, NULL, f
369	ambactus	noun	ambactus, NULL, m
370	ambages	noun	ambages, NULL, f
371	ambiguitas	noun	ambiguitas, NULL, f
372	ambio	noun	ambio, NULL, n
373	ambitio	noun	ambitio, ambitionis, f
374	ambitus	noun	ambitus, ambitus, m
375	Ambracia	noun	Ambracia, ambraciae, f
376	ambrosia	noun	ambrosia, ambrosiae, f
377	ambubaia	noun	ambubaia, NULL, f
378	ambulatio	noun	ambulatio, ambulationis, f
379	ambulatiuncula	noun	ambulatiuncula, NULL, f
380	ambulo	noun	ambulo, NULL, n
381	amburo	noun	amburo, NULL, n
382	amellus	noun	amellus, amelli, m
383	amentia	noun	amentia, amentiae, f
384	amentum	noun	amentum, amenti, n
385	ames	noun	ames, NULL, m
386	amica	noun	amica, amicae, f
387	amicitia	noun	amicitia, amicitiae, f
388	amictus	noun	amictus, amictus, m
389	amicula	noun	amicula, amiculae, f
390	amiculum	noun	amiculum, amiculi, n
391	amiculus	noun	amiculus, amiculi, m
392	amicus	noun	amicus, amici, m
393	amicus	noun	amicus, amici, m
394	amissio	noun	amissio, NULL, f
395	amissus	noun	amissus, amissus, m
396	amita	noun	amita, amitae, f
397	amitto	noun	amitto, NULL, n
398	amnicola	noun	amnicola, amnicolaeque, m
399	amniculus	noun	amniculus, NULL, m
400	amnis	noun	amnis, amnis, m
401	amo	noun	amo, NULL, n
402	amoenitas	noun	amoenitas, NULL, f
403	amomum	noun	amomum, amomi, n
404	amor	noun	amor, amoris, m
405	amotio	noun	amotio, NULL, f
406	amoveo	noun	amoveo, NULL, n
407	amphibolia	noun	amphibolia, NULL, f
408	Amphictyones	noun	Amphictyones, NULL, m
409	Amphion	noun	Amphion, amphionis, m
410	amphitheatrum	noun	amphitheatrum, amphitheatri, n
411	amphora	noun	amphora, amphorae, f
412	Amphrysus	noun	Amphrysus, amphrysi, m
413	amplector	noun	amplector, NULL, n
414	amplexus	noun	amplexus, amplexus, m
415	amplificatio	noun	amplificatio, amplificationis, f
416	amplificator	noun	amplificator, NULL, m
417	amplifico	noun	amplifico, NULL, n
418	amplio	noun	amplio, NULL, n
419	amplitudo	noun	amplitudo, amplitudinis, f
420	Ampsanctus	noun	Ampsanctus, NULL, m
421	ampulla	noun	ampulla, ampullae, f
422	amputatio	noun	amputatio, NULL, f
423	amputo	noun	amputo, NULL, n
424	amurca	noun	amurca, amurcae, f
425	Amyclae	noun	Amyclae, NULL, f
426	amygdalum	noun	amygdalum, amygdali, n
427	amystis	noun	amystis, amystis, f
428	anagnostes	noun	anagnostes, anagnostae, m
429	analeptris	noun	analeptris, NULL, f
430	anaticula	noun	anaticula, NULL, f
431	anatocismus	noun	anatocismus, NULL, m
432	anceps	noun	anceps, ancipitis, n
433	Anchises	noun	Anchises, anchisi, m
434	Anchisiades	noun	Anchisiades, NULL, m
435	ancile	noun	ancile, NULL, n
436	ancilla	noun	ancilla, ancillae, f
437	ancillula	noun	ancillula, ancillulae, f
438	ancora	noun	ancora, ancorae, f
439	ancorale	noun	ancorale, ancoralis, n
440	andabata	noun	andabata, NULL, m
441	androgynus	noun	androgynus, NULL, m
442	anellus	noun	anellus, anelli, m
443	anethum	noun	anethum, anethi, n
444	ango	noun	ango, NULL, n
445	angor	noun	angor, angoris, m
446	anguiculus	noun	anguiculus, NULL, m
447	anguigena	noun	anguigena, anguigenae, m
448	anguilla	noun	anguilla, anguillae, f
449	angulus	noun	angulus, anguli, m
450	angustia	noun	angustia, angustiae, f
451	angustum	noun	angustum, angusti, n
