language,source,lemma,atlas_id,url
grc,Atlas,ἐγκλείω1,378607,https://atlas.perseus.tufts.edu/lemma/378607/
grc,Atlas,ἐγκόσμια,348360,https://atlas.perseus.tufts.edu/lemma/348360/
grc,Atlas,ἔγκοτος,343582,https://atlas.perseus.tufts.edu/lemma/343582/
grc,Atlas,ἐγνατία,347508,https://atlas.perseus.tufts.edu/lemma/347508/
grc,Atlas,ἐγχώννυμι,481295,https://atlas.perseus.tufts.edu/lemma/481295/
grc,Atlas,εγω,380833,https://atlas.perseus.tufts.edu/lemma/380833/
grc,Atlas,ἐγώ,363766,https://atlas.perseus.tufts.edu/lemma/363766/
grc,Atlas,ἔγω,379896,https://atlas.perseus.tufts.edu/lemma/379896/
grc,Atlas,ἕκηλος,421378,https://atlas.perseus.tufts.edu/lemma/421378/
grc,Atlas,ἐκθειόω,360375,https://atlas.perseus.tufts.edu/lemma/360375/
grc,Atlas,ἑκκαιδεκάδωρα,386169,https://atlas.perseus.tufts.edu/lemma/386169/
grc,Atlas,ἐκκαίω,442057,https://atlas.perseus.tufts.edu/lemma/442057/
grc,Atlas,ἐκκείω,346295,https://atlas.perseus.tufts.edu/lemma/346295/
grc,Atlas,ἐκκλησιαστικος,346347,https://atlas.perseus.tufts.edu/lemma/346347/
grc,Atlas,ἐκκοπτέος,344955,https://atlas.perseus.tufts.edu/lemma/344955/
grc,Atlas,ἐκκυβεύω,348537,https://atlas.perseus.tufts.edu/lemma/348537/
grc,Atlas,ἐκληρόω,365011,https://atlas.perseus.tufts.edu/lemma/365011/
grc,Atlas,ἔκλυςις,357605,https://atlas.perseus.tufts.edu/lemma/357605/
grc,Atlas,ἐκμανθάνω,385133,https://atlas.perseus.tufts.edu/lemma/385133/
grc,Atlas,ἐκνοσηλεύω,394123,https://atlas.perseus.tufts.edu/lemma/394123/
grc,Atlas,ἐκπαιφάσκω,341662,https://atlas.perseus.tufts.edu/lemma/341662/
grc,Atlas,ἐκπετάζω,406171,https://atlas.perseus.tufts.edu/lemma/406171/
grc,Atlas,ἐκπέταλος,378133,https://atlas.perseus.tufts.edu/lemma/378133/
grc,Atlas,ἐκπηγνύω,435989,https://atlas.perseus.tufts.edu/lemma/435989/
grc,Atlas,ἐκπλέω,447942,https://atlas.perseus.tufts.edu/lemma/447942/
grc,Atlas,ἐκπληκτικός,345158,https://atlas.perseus.tufts.edu/lemma/345158/
grc,Atlas,ἔκπνευσις,350449,https://atlas.perseus.tufts.edu/lemma/350449/
grc,Atlas,ἐκπορδεύω,389566,https://atlas.perseus.tufts.edu/lemma/389566/
grc,Atlas,ἐλαιοφόρος,394471,https://atlas.perseus.tufts.edu/lemma/394471/
grc,Atlas,ἐλαΐτης,378566,https://atlas.perseus.tufts.edu/lemma/378566/
grc,Atlas,ἐλατ,366029,https://atlas.perseus.tufts.edu/lemma/366029/
grc,Atlas,ἐλάτης,342554,https://atlas.perseus.tufts.edu/lemma/342554/
grc,Atlas,ἐλατικός,361554,https://atlas.perseus.tufts.edu/lemma/361554/
grc,Atlas,ἐλαύνω,409498,https://atlas.perseus.tufts.edu/lemma/409498/
grc,Atlas,ἔλαφος,407411,https://atlas.perseus.tufts.edu/lemma/407411/
grc,Atlas,ἐλεεινός,472243,https://atlas.perseus.tufts.edu/lemma/472243/
grc,Atlas,ἐλεημοςύνη,388257,https://atlas.perseus.tufts.edu/lemma/388257/
grc,Atlas,ἐλεητικός,381593,https://atlas.perseus.tufts.edu/lemma/381593/
grc,Atlas,ἐλειφάς,343874,https://atlas.perseus.tufts.edu/lemma/343874/
grc,Atlas,ἑλείων,373363,https://atlas.perseus.tufts.edu/lemma/373363/
grc,Atlas,ἑλείων,347161,https://atlas.perseus.tufts.edu/lemma/347161/
grc,Atlas,ἐλευθερόω,388527,https://atlas.perseus.tufts.edu/lemma/388527/
grc,Atlas,ἐλευθέρω,396891,https://atlas.perseus.tufts.edu/lemma/396891/
grc,Atlas,ἐλευσινόθεν,338680,https://atlas.perseus.tufts.edu/lemma/338680/
grc,Atlas,ἐλεφαντιασμός,347853,https://atlas.perseus.tufts.edu/lemma/347853/
grc,Atlas,ἐλεφαντιάω,393031,https://atlas.perseus.tufts.edu/lemma/393031/
grc,Atlas,ἑλίκωψ,426900,https://atlas.perseus.tufts.edu/lemma/426900/
