,Workgroup,Work,Language,Words,URN,URL
511,Hermannus Diels,Epimetrum to Anonymi Londinensis ex Aristotelis iatricis Menoniis et aliis medicis eclogae,lat,272,urn:cts:greekLit:tlg0643.opp002.1st1K-lat1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0643.opp002.1st1K-lat1:1/
512,,Supplementum Aristotelicum,"grc,lat",582,urn:cts:greekLit:tlg0643.opp003.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0643.opp003.1st1K-grc1:1/
513,Anonymus Londinensis,Iatrica,"grc,lat",15166,urn:cts:greekLit:tlg0643.tlg001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0643.tlg001.1st1K-grc1:1.1-1.30/
514,Hermannus Diels,Sigla to Anonymus Londinensis Iatrica,"grc,lat",104,urn:cts:greekLit:tlg0643.tlg001.1st1K-grc2,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0643.tlg001.1st1K-grc2:1/
515,K. F. G. Kenyon,Signorum Explicatio to Iatrica,lat,105,urn:cts:greekLit:tlg0643.tlg001.1st1K-lat1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0643.tlg001.1st1K-lat1:1-5/
516,,Index Verborum to Iatrica,"grc,lat,mul",11477,urn:cts:greekLit:tlg0643.tlg001.1st1K-mul1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0643.tlg001.1st1K-mul1:verborum.1-verborum.5/
517,,Supplementum Aristotelicum,"grc,lat",1853,urn:cts:greekLit:tlg0643.tlg001.1st1K-mul2,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0643.tlg001.1st1K-mul2:nominum.1-nominum.5/
518,,Anonymus Londinensis Fragmenta,"grc,lat",346,urn:cts:greekLit:tlg0643.tlg002.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0643.tlg002.1st1K-grc1:1/
519,Aristophanes of Byzantium,Historiae Animalium Epitome,"grc,lat",77569,urn:cts:greekLit:tlg0644.tlg001.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0644.tlg001.1st1K-grc1:1.1-1.2/
520,Justinus Martyr,Apologia,grc,14440,urn:cts:greekLit:tlg0645.tlg001.opp-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0645.tlg001.opp-grc1:1/
521,Justinus Martyr,Apologia Secunda,grc,3293,urn:cts:greekLit:tlg0645.tlg002.opp-grc1,https://scaife.perseus.org/library/urn:cts:greekLit:tlg0645.tlg002.opp-grc1/redirect/
522,Justin Martyr,Apology II,grc,3293,urn:cts:greekLit:tlg0645.tlg002.perseus-grc2,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0645.tlg002.perseus-grc2:1-5/
523,Justinus Martyr,Dialogus cum Tryphone,grc,54736,urn:cts:greekLit:tlg0645.tlg003.perseus-grc2,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0645.tlg003.perseus-grc2:1.1-1.2/
